term,left_bin,left_perc,right_bin,right_perc
harassment,10.0,0.142,10.0,0.14400000000000002
assault,7.0,0.094,6.0,0.078
allegations,6.0,0.07400000000000001,8.0,0.106
abuse,5.0,0.062,6.0,0.073
weinstein,5.0,0.061,6.0,0.08199999999999999
trump,5.0,0.061,3.0,0.033
misconduct,4.0,0.051,5.0,0.06
harvey,4.0,0.044000000000000004,5.0,0.063
campaign,3.0,0.043,5.0,0.07
time's,3.0,0.042,2.0,0.024
time's,1.0,0.002,2.0,0.024
hashtag,3.0,0.042,3.0,0.037000000000000005
media,3.0,0.040999999999999995,4.0,0.052000000000000005
burke,3.0,0.036000000000000004,1.0,0.01
workplace,3.0,0.032,1.0,0.012
women's,3.0,0.03,2.0,0.024
tarana,3.0,0.03,1.0,0.01
accusers,3.0,0.028999999999999998,0.0,0.0
victims,2.0,0.027999999999999997,3.0,0.039
survivors,2.0,0.027000000000000003,1.0,0.009000000000000001
violence,2.0,0.024,2.0,0.017
kavanaugh,2.0,0.023,3.0,0.032
actress,2.0,0.023,3.0,0.036000000000000004
tweeted,2.0,0.022000000000000002,3.0,0.033
republicans,2.0,0.021,1.0,0.008
movimiento,2.0,0.02,0.0,0.0
movimiento,1.0,0.002,0.0,0.0
activist,2.0,0.02,0.0,0.0
twitter,2.0,0.019,2.0,0.018000000000000002
sexually,2.0,0.019,2.0,0.025
metoo,2.0,0.019,6.0,0.078
globes,2.0,0.019,1.0,0.013999999999999999
reckoning,2.0,0.017,1.0,0.006999999999999999
american,2.0,0.017,1.0,0.004
clinton,2.0,0.016,3.0,0.031
united,2.0,0.015,1.0,0.006999999999999999
gender,2.0,0.015,1.0,0.005
founder,2.0,0.015,1.0,0.008
democrats,2.0,0.015,3.0,0.037000000000000005
celebrity,1.0,0.013999999999999999,2.0,0.015
awards,1.0,0.013999999999999999,2.0,0.015
scandal,1.0,0.013000000000000001,2.0,0.027999999999999997
rape,1.0,0.013000000000000001,3.0,0.036000000000000004
mcgowan,1.0,0.013000000000000001,1.0,0.012
high-profile,1.0,0.013000000000000001,1.0,0.005
sparked,1.0,0.012,1.0,0.008
rally,1.0,0.012,1.0,0.013999999999999999
producer,1.0,0.012,2.0,0.018000000000000002
milano,1.0,0.012,1.0,0.009000000000000001
argento,1.0,0.012,1.0,0.013999999999999999
viral,1.0,0.011000000000000001,1.0,0.003
protests,1.0,0.011000000000000001,1.0,0.003
industries,1.0,0.011000000000000001,1.0,0.006999999999999999
conservative,1.0,0.011000000000000001,1.0,0.006
allen,1.0,0.011000000000000001,1.0,0.009000000000000001
washington,1.0,0.01,1.0,0.01
supports,1.0,0.01,2.0,0.016
oscars,1.0,0.01,0.0,0.0
france,1.0,0.01,0.0,0.0
confront,1.0,0.01,0.0,0.0
carpet,1.0,0.01,1.0,0.005
brett,1.0,0.01,1.0,0.012
accountability,1.0,0.01,0.0,0.0
yorker,1.0,0.009000000000000001,1.0,0.005
year's,1.0,0.009000000000000001,1.0,0.011000000000000001
resignation,1.0,0.009000000000000001,0.0,0.0
reporting,1.0,0.009000000000000001,1.0,0.01
predators,1.0,0.009000000000000001,1.0,0.01
ford,1.0,0.009000000000000001,1.0,0.011000000000000001
elections,1.0,0.009000000000000001,0.0,0.0
donald,1.0,0.009000000000000001,1.0,0.011000000000000001
careers,1.0,0.009000000000000001,1.0,0.004
backlash,1.0,0.009000000000000001,1.0,0.013000000000000001
alyssa,1.0,0.009000000000000001,1.0,0.005
acoso,1.0,0.009000000000000001,0.0,0.0
solidarity,1.0,0.008,1.0,0.006
oprah,1.0,0.008,1.0,0.003
nominee,1.0,0.008,1.0,0.006
michelle,1.0,0.008,1.0,0.002
hotel,1.0,0.008,1.0,0.003
hollywood's,1.0,0.008,1.0,0.002
ginsburg,1.0,0.008,0.0,0.0
fox,1.0,0.008,1.0,0.004
focused,1.0,0.008,1.0,0.002
empowerment,1.0,0.008,1.0,0.004
denuncias,1.0,0.008,0.0,0.0
defending,1.0,0.008,1.0,0.005
complaints,1.0,0.008,1.0,0.006999999999999999
advocate,1.0,0.008,1.0,0.011000000000000001
vocal,1.0,0.006999999999999999,1.0,0.006
tv,1.0,0.006999999999999999,1.0,0.012
spotlight,1.0,0.006999999999999999,1.0,0.006999999999999999
sexism,1.0,0.006999999999999999,1.0,0.002
senate,1.0,0.006999999999999999,0.0,0.0
revelations,1.0,0.006999999999999999,1.0,0.008
online,1.0,0.006999999999999999,1.0,0.011000000000000001
mujeres,1.0,0.006999999999999999,0.0,0.0
marches,1.0,0.006999999999999999,0.0,0.0
los,1.0,0.006999999999999999,1.0,0.006
kelly,1.0,0.006999999999999999,1.0,0.003
hosts,1.0,0.006999999999999999,1.0,0.002
grammys,1.0,0.006999999999999999,1.0,0.003
cosby,1.0,0.006999999999999999,0.0,0.0
charlie,1.0,0.006999999999999999,1.0,0.005
calling,1.0,0.006999999999999999,1.0,0.012
ansari,1.0,0.006999999999999999,1.0,0.004
angeles,1.0,0.006999999999999999,1.0,0.006
america,1.0,0.006999999999999999,2.0,0.015
acusaciones,1.0,0.006999999999999999,0.0,0.0
topic,1.0,0.006,0.0,0.0
taylor,1.0,0.006,0.0,0.0
supreme,1.0,0.006,1.0,0.008
spurred,1.0,0.006,1.0,0.003
ruin,1.0,0.006,0.0,0.0
públicas,1.0,0.006,0.0,0.0
productor,1.0,0.006,0.0,0.0
nomination,1.0,0.006,1.0,0.003
moments,1.0,0.006,1.0,0.003
jackie,1.0,0.006,0.0,0.0
inappropriate,1.0,0.006,1.0,0.006999999999999999
global,1.0,0.006,0.0,0.0
french,1.0,0.006,1.0,0.008
franken,1.0,0.006,1.0,0.011000000000000001
feminists,1.0,0.006,0.0,0.0
evangelical,1.0,0.006,0.0,0.0
episode,1.0,0.006,0.0,0.0
emmy,1.0,0.006,0.0,0.0
dismissed,1.0,0.006,0.0,0.0
declares,1.0,0.006,0.0,0.0
corporate,1.0,0.006,0.0,0.0
