term,a1_bin,a1_perc,a2_bin,a2_perc
allegations,6.0,0.27699999999999997,4.0,0.15
franken,5.0,0.22399999999999998,1.0,0.021
trump,3.0,0.107,1.0,0.023
democrats,3.0,0.107,0.0,0.0
harassment,3.0,0.098,3.0,0.125
misconduct,2.0,0.08,2.0,0.081
resign,2.0,0.071,0.0,0.0
senate,2.0,0.068,1.0,0.006999999999999999
accusations,2.0,0.066,2.0,0.071
weinstein,2.0,0.055,4.0,0.155
republican,2.0,0.055,1.0,0.002
moore,2.0,0.055,1.0,0.012
assault,2.0,0.049,3.0,0.09699999999999999
alabama,1.0,0.038,0.0,0.0
campaign,1.0,0.034,1.0,0.03
clinton,1.0,0.032,1.0,0.003
media,1.0,0.03,1.0,0.037000000000000005
groping,1.0,0.03,0.0,0.0
gillibrand,1.0,0.028999999999999998,1.0,0.002
roy,1.0,0.027999999999999997,1.0,0.011000000000000001
minnesota,1.0,0.026000000000000002,0.0,0.0
kavanaugh,1.0,0.025,0.0,0.0
allen,1.0,0.025,1.0,0.012
photo,1.0,0.024,1.0,0.006
congress,1.0,0.024,0.0,0.0
kissed,1.0,0.021,0.0,0.0
harvey,1.0,0.021,3.0,0.10300000000000001
donald,1.0,0.021,1.0,0.011000000000000001
abuse,1.0,0.021,2.0,0.057999999999999996
election,1.0,0.019,0.0,0.0
d-minn,1.0,0.019,0.0,0.0
american,1.0,0.019,1.0,0.009000000000000001
apologize,1.0,0.017,0.0,0.0
women's,1.0,0.015,1.0,0.004
washington,1.0,0.015,1.0,0.003
tweeden,1.0,0.013999999999999999,0.0,0.0
ford,1.0,0.013999999999999999,0.0,0.0
cosby,1.0,0.013999999999999999,1.0,0.032
conyers,1.0,0.013999999999999999,1.0,0.003
supreme,1.0,0.013000000000000001,1.0,0.002
judge,1.0,0.013000000000000001,1.0,0.004
investigate,1.0,0.013000000000000001,0.0,0.0
inappropriate,1.0,0.013000000000000001,1.0,0.019
victims,1.0,0.012,1.0,0.035
tweeted,1.0,0.012,0.0,0.0
president's,1.0,0.012,0.0,0.0
tax,1.0,0.011000000000000001,1.0,0.001
supporters,1.0,0.011000000000000001,1.0,0.009000000000000001
schneiderman,1.0,0.011000000000000001,0.0,0.0
matt,1.0,0.011000000000000001,1.0,0.037000000000000005
calling,1.0,0.011000000000000001,1.0,0.003
spacey,1.0,0.01,10.0,0.462
smith,1.0,0.01,0.0,0.0
sexually,1.0,0.01,1.0,0.019
scandal,1.0,0.01,1.0,0.025
sanders,1.0,0.01,0.0,0.0
presidential,1.0,0.01,0.0,0.0
photograph,1.0,0.01,1.0,0.004
nominee,1.0,0.01,1.0,0.009000000000000001
kirsten,1.0,0.01,0.0,0.0
jordan,1.0,0.01,0.0,0.0
gop,1.0,0.01,0.0,0.0
farrow,1.0,0.01,1.0,0.004
denies,1.0,0.01,1.0,0.004
conservative,1.0,0.01,0.0,0.0
unwanted,1.0,0.009000000000000001,1.0,0.01
rape,1.0,0.009000000000000001,1.0,0.018000000000000002
lawmakers,1.0,0.009000000000000001,0.0,0.0
lauer,1.0,0.009000000000000001,1.0,0.037000000000000005
kevin,1.0,0.009000000000000001,7.0,0.309
jones,1.0,0.009000000000000001,0.0,0.0
franks,1.0,0.009000000000000001,0.0,0.0
dylan,1.0,0.009000000000000001,1.0,0.004
woody,1.0,0.008,1.0,0.005
united,1.0,0.008,1.0,0.008
reporting,1.0,0.008,0.0,0.0
reckoning,1.0,0.008,1.0,0.013000000000000001
professor,1.0,0.008,1.0,0.003
producer,1.0,0.008,1.0,0.032
nbc,1.0,0.008,0.0,0.0
leeann,1.0,0.008,0.0,0.0
john,1.0,0.008,1.0,0.01
capitol,1.0,0.008,0.0,0.0
aide,1.0,0.008,0.0,0.0
acknowledged,1.0,0.008,1.0,0.002
university,1.0,0.006999999999999999,1.0,0.003
rally,1.0,0.006999999999999999,1.0,0.012
paul,1.0,0.006999999999999999,1.0,0.012
leader,1.0,0.006999999999999999,0.0,0.0
incidents,1.0,0.006999999999999999,1.0,0.004
immigration,1.0,0.006999999999999999,0.0,0.0
hashtag,1.0,0.006999999999999999,1.0,0.022000000000000002
focused,1.0,0.006999999999999999,1.0,0.003
feminist,1.0,0.006999999999999999,1.0,0.013999999999999999
denial,1.0,0.006999999999999999,0.0,0.0
credible,1.0,0.006999999999999999,0.0,0.0
comedian,1.0,0.006999999999999999,1.0,0.01
celebrity,1.0,0.006999999999999999,1.0,0.026000000000000002
america's,1.0,0.006999999999999999,1.0,0.004
alcohol,1.0,0.006999999999999999,0.0,0.0
yorker,1.0,0.006,1.0,0.005
violence,1.0,0.006,1.0,0.013000000000000001
twitter,1.0,0.006,1.0,0.013000000000000001
tina,1.0,0.006,0.0,0.0
testify,1.0,0.006,1.0,0.001
predatory,1.0,0.006,0.0,0.0
poll,1.0,0.006,0.0,0.0
motivated,1.0,0.006,0.0,0.0
michael,1.0,0.006,1.0,0.005
judiciary,1.0,0.006,0.0,0.0
journalists,1.0,0.006,1.0,0.006
initially,1.0,0.006,1.0,0.004
hurt,1.0,0.006,0.0,0.0
hillary,1.0,0.006,0.0,0.0
gender,1.0,0.006,1.0,0.013000000000000001
false,1.0,0.006,1.0,0.003
facebook,1.0,0.006,1.0,0.005
echoed,1.0,0.006,0.0,0.0
defended,1.0,0.006,0.0,0.0
criticized,1.0,0.006,1.0,0.005
consent,1.0,0.006,1.0,0.006999999999999999
child,1.0,0.006,1.0,0.003
brzezinski,1.0,0.006,0.0,0.0
breast,1.0,0.006,0.0,0.0
anonymous,1.0,0.006,0.0,0.0
advances,1.0,0.006,1.0,0.016
touching,1.0,0.005,0.0,0.0
survivors,1.0,0.005,1.0,0.024
surfaced,1.0,0.005,0.0,0.0
sued,1.0,0.005,0.0,0.0
skit,1.0,0.005,0.0,0.0
sharyn,1.0,0.005,0.0,0.0
russia,1.0,0.005,0.0,0.0
rob,1.0,0.005,0.0,0.0
revelations,1.0,0.005,1.0,0.009000000000000001
repeatedly,1.0,0.005,0.0,0.0
refuse,1.0,0.005,0.0,0.0
recounted,1.0,0.005,0.0,0.0
quit,1.0,0.005,0.0,0.0
pushing,1.0,0.005,1.0,0.003
prompted,1.0,0.005,0.0,0.0
progressive,1.0,0.005,0.0,0.0
predators,1.0,0.005,1.0,0.012
politician,1.0,0.005,0.0,0.0
obama,1.0,0.005,0.0,0.0
misdeeds,1.0,0.005,0.0,0.0
louis,1.0,0.005,1.0,0.031
los,1.0,0.005,1.0,0.032
james,1.0,0.005,1.0,0.024
irony,1.0,0.005,0.0,0.0
industries,1.0,0.005,1.0,0.006
highlighted,1.0,0.005,1.0,0.004
harris,1.0,0.005,0.0,0.0
grab,1.0,0.005,0.0,0.0
forcibly,1.0,0.005,0.0,0.0
fbi,1.0,0.005,0.0,0.0
eric,1.0,0.005,0.0,0.0
emotion,1.0,0.005,0.0,0.0
ellison,1.0,0.005,0.0,0.0
dynamics,1.0,0.005,0.0,0.0
disgraced,1.0,0.005,1.0,0.006
confirm,1.0,0.005,0.0,0.0
chuck,1.0,0.005,0.0,0.0
christian,1.0,0.005,0.0,0.0
california,1.0,0.005,1.0,0.006
ashamed,1.0,0.005,0.0,0.0
angeles,1.0,0.005,1.0,0.032
alfonsi,1.0,0.005,0.0,0.0
alex,1.0,0.005,0.0,0.0
advocate,1.0,0.005,1.0,0.006999999999999999
acted,1.0,0.005,0.0,0.0
wrestler,1.0,0.004,0.0,0.0
workplace,1.0,0.004,1.0,0.018000000000000002
vulnerability,1.0,0.004,0.0,0.0
trent,1.0,0.004,1.0,0.001
topic,1.0,0.004,1.0,0.006
thomas,1.0,0.004,1.0,0.002
texas,1.0,0.004,0.0,0.0
suggesting,1.0,0.004,0.0,0.0
steven,1.0,0.004,1.0,0.006999999999999999
sports,1.0,0.004,1.0,0.005
speaks,1.0,0.004,1.0,0.001
spared,1.0,0.004,1.0,0.002
soon-yi,1.0,0.004,0.0,0.0
sketch,1.0,0.004,0.0,0.0
ryan,1.0,0.004,0.0,0.0
roberts,1.0,0.004,0.0,0.0
rehearsing,1.0,0.004,0.0,0.0
referring,1.0,0.004,0.0,0.0
punished,1.0,0.004,0.0,0.0
prosecution,1.0,0.004,0.0,0.0
praised,1.0,0.004,1.0,0.002
politico,1.0,0.004,0.0,0.0
perpetrators,1.0,0.004,1.0,0.004
people's,1.0,0.004,0.0,0.0
pelosi's,1.0,0.004,0.0,0.0
oval,1.0,0.004,0.0,0.0
offense,1.0,0.004,0.0,0.0
nancy,1.0,0.004,0.0,0.0
monica,1.0,0.004,1.0,0.003
monahan's,1.0,0.004,0.0,0.0
molested,1.0,0.004,0.0,0.0
michelle,1.0,0.004,1.0,0.01
mcconnell,1.0,0.004,0.0,0.0
maher,1.0,0.004,1.0,0.002
longtime,1.0,0.004,0.0,0.0
liar,1.0,0.004,0.0,0.0
lewinsky,1.0,0.004,1.0,0.005
kihuen,1.0,0.004,0.0,0.0
kicked,1.0,0.004,1.0,0.006
kelly,1.0,0.004,1.0,0.002
joking,1.0,0.004,0.0,0.0
independently,1.0,0.004,0.0,0.0
improper,1.0,0.004,0.0,0.0
illegal,1.0,0.004,0.0,0.0
huffington,1.0,0.004,0.0,0.0
frustration,1.0,0.004,1.0,0.002
feminism,1.0,0.004,1.0,0.003
endured,1.0,0.004,1.0,0.005
emails,1.0,0.004,0.0,0.0
dismissing,1.0,0.004,0.0,0.0
cynics,1.0,0.004,0.0,0.0
criminal,1.0,0.004,1.0,0.008
corporate,1.0,0.004,1.0,0.003
contested,1.0,0.004,0.0,0.0
college,1.0,0.004,1.0,0.003
classified,1.0,0.004,0.0,0.0
christine,1.0,0.004,1.0,0.002
challenges,1.0,0.004,0.0,0.0
cbs,1.0,0.004,1.0,0.005
buttocks,1.0,0.004,0.0,0.0
breitbart,1.0,0.004,0.0,0.0
breakers,1.0,0.004,1.0,0.006
blamed,1.0,0.004,0.0,0.0
ballots,1.0,0.004,0.0,0.0
anita,1.0,0.004,0.0,0.0
amplifying,1.0,0.004,0.0,0.0
amazon,1.0,0.004,1.0,0.003
alienated,1.0,0.004,0.0,0.0
abc,1.0,0.004,0.0,0.0
30s,1.0,0.004,0.0,0.0
willingness,1.0,0.003,1.0,0.001
william,1.0,0.003,0.0,0.0
wellstone,1.0,0.003,0.0,0.0
weird,1.0,0.003,0.0,0.0
vowed,1.0,0.003,0.0,0.0
victory,1.0,0.003,1.0,0.001
vet,1.0,0.003,0.0,0.0
uso,1.0,0.003,0.0,0.0
usa,1.0,0.003,1.0,0.006
unrelated,1.0,0.003,0.0,0.0
unfair,1.0,0.003,0.0,0.0
undermined,1.0,0.003,0.0,0.0
ultimately,1.0,0.003,1.0,0.001
tolerance,1.0,0.003,1.0,0.001
terrified,1.0,0.003,0.0,0.0
teenagers,1.0,0.003,1.0,0.002
teen,1.0,0.003,0.0,0.0
taxpayer,1.0,0.003,0.0,0.0
sullivan,1.0,0.003,1.0,0.002
subpoenaed,1.0,0.003,0.0,0.0
stepping,1.0,0.003,1.0,0.001
staffers,1.0,0.003,0.0,0.0
sorts,1.0,0.003,1.0,0.001
societal,1.0,0.003,1.0,0.001
sleeping,1.0,0.003,0.0,0.0
sits,1.0,0.003,0.0,0.0
signaling,1.0,0.003,0.0,0.0
shocking,1.0,0.003,0.0,0.0
secretive,1.0,0.003,0.0,0.0
schumer,1.0,0.003,0.0,0.0
san,1.0,0.003,0.0,0.0
reverse,1.0,0.003,0.0,0.0
revealing,1.0,0.003,0.0,0.0
retire,1.0,0.003,0.0,0.0
responders,1.0,0.003,0.0,0.0
repeal,1.0,0.003,0.0,0.0
remembering,1.0,0.003,0.0,0.0
reluctant,1.0,0.003,0.0,0.0
regret,1.0,0.003,0.0,0.0
reelection,1.0,0.003,0.0,0.0
realm,1.0,0.003,0.0,0.0
ramsey,1.0,0.003,0.0,0.0
rachel,1.0,0.003,0.0,0.0
publicist,1.0,0.003,0.0,0.0
psychology,1.0,0.003,0.0,0.0
protecting,1.0,0.003,0.0,0.0
preyed,1.0,0.003,0.0,0.0
pressured,1.0,0.003,0.0,0.0
predicted,1.0,0.003,0.0,0.0
porter,1.0,0.003,0.0,0.0
pinned,1.0,0.003,0.0,0.0
outlets,1.0,0.003,1.0,0.002
operates,1.0,0.003,0.0,0.0
op-ed,1.0,0.003,1.0,0.002
online,1.0,0.003,1.0,0.006999999999999999
