term,a1_bin,a1_perc,a2_bin,a2_perc
harassment,7.0,0.684,4.0,0.3
allegations,3.0,0.215,2.0,0.158
assault,2.0,0.19699999999999998,1.0,0.015
misconduct,2.0,0.124,1.0,0.049
sexually,1.0,0.091,1.0,0.027999999999999997
weinstein,1.0,0.081,1.0,0.044000000000000004
accusations,1.0,0.06,1.0,0.036000000000000004
workplace,1.0,0.053,1.0,0.011000000000000001
abuse,1.0,0.052000000000000005,1.0,0.019
harvey,1.0,0.049,1.0,0.028999999999999998
victims,1.0,0.046,1.0,0.008
trump,1.0,0.037000000000000005,2.0,0.122
complaints,1.0,0.036000000000000004,1.0,0.015
media,1.0,0.035,1.0,0.044000000000000004
violence,1.0,0.032,0.0,0.0
inappropriate,1.0,0.027999999999999997,1.0,0.008
scandal,1.0,0.027000000000000003,1.0,0.046
resign,1.0,0.027000000000000003,0.0,0.0
investigating,1.0,0.027000000000000003,0.0,0.0
democratic,1.0,0.026000000000000002,0.0,0.0
advances,1.0,0.026000000000000002,1.0,0.02
senate,1.0,0.024,1.0,0.005
fox,1.0,0.024,7.0,0.601
actress,1.0,0.023,0.0,0.0
university,1.0,0.022000000000000002,0.0,0.0
nbc,1.0,0.022000000000000002,1.0,0.017
producer,1.0,0.021,1.0,0.013999999999999999
discrimination,1.0,0.021,1.0,0.005
campaign,1.0,0.021,1.0,0.02
reporting,1.0,0.02,0.0,0.0
rape,1.0,0.02,1.0,0.001
republican,1.0,0.019,1.0,0.011000000000000001
lauer,1.0,0.019,1.0,0.013999999999999999
california,1.0,0.019,0.0,0.0
women's,1.0,0.017,1.0,0.002
moore,1.0,0.017,1.0,0.023
cbs,1.0,0.017,1.0,0.005
students,1.0,0.016,0.0,0.0
cosby,1.0,0.016,1.0,0.027999999999999997
congress,1.0,0.016,0.0,0.0
american,1.0,0.016,1.0,0.011000000000000001
unwanted,1.0,0.015,1.0,0.004
o'reilly,1.0,0.013999999999999999,2.0,0.158
lawsuit,1.0,0.013999999999999999,1.0,0.08
united,1.0,0.013000000000000001,1.0,0.003
lawmakers,1.0,0.013000000000000001,0.0,0.0
clinton,1.0,0.013000000000000001,1.0,0.017
america,1.0,0.013000000000000001,1.0,0.01
washington,1.0,0.012,1.0,0.005
violation,1.0,0.012,0.0,0.0
survivors,1.0,0.012,0.0,0.0
john,1.0,0.012,1.0,0.015
gender,1.0,0.012,1.0,0.002
franken,1.0,0.012,1.0,0.005
advocate,1.0,0.012,0.0,0.0
tweet,1.0,0.011000000000000001,0.0,0.0
professor,1.0,0.011000000000000001,0.0,0.0
moonves,1.0,0.011000000000000001,1.0,0.003
mogul,1.0,0.011000000000000001,1.0,0.005
matt,1.0,0.011000000000000001,1.0,0.008
education,1.0,0.011000000000000001,0.0,0.0
cnn,1.0,0.011000000000000001,1.0,0.006
campus,1.0,0.011000000000000001,0.0,0.0
twitter,1.0,0.01,1.0,0.006
spacey,1.0,0.01,1.0,0.003
roy,1.0,0.01,1.0,0.02
mps,1.0,0.01,0.0,0.0
ford,1.0,0.01,0.0,0.0
employers,1.0,0.01,0.0,0.0
donald,1.0,0.01,1.0,0.021
dismissed,1.0,0.01,0.0,0.0
denies,1.0,0.01,0.0,0.0
crime,1.0,0.01,1.0,0.002
transparent,1.0,0.009000000000000001,0.0,0.0
tolerance,1.0,0.009000000000000001,1.0,0.001
predators,1.0,0.009000000000000001,1.0,0.01
los,1.0,0.009000000000000001,0.0,0.0
leader,1.0,0.009000000000000001,1.0,0.004
kevin,1.0,0.009000000000000001,1.0,0.005
judge,1.0,0.009000000000000001,1.0,0.003
executives,1.0,0.009000000000000001,1.0,0.015
dozens,1.0,0.009000000000000001,1.0,0.005
angeles,1.0,0.009000000000000001,0.0,0.0
activist,1.0,0.009000000000000001,0.0,0.0
surfaced,1.0,0.008,1.0,0.002
supreme,1.0,0.008,1.0,0.001
staffers,1.0,0.008,1.0,0.003
ryan,1.0,0.008,1.0,0.001
ratner,1.0,0.008,1.0,0.001
photo,1.0,0.008,1.0,0.003
perpetrators,1.0,0.008,0.0,0.0
nfl,1.0,0.008,0.0,0.0
kozinski's,1.0,0.008,0.0,0.0
kavanaugh,1.0,0.008,1.0,0.006999999999999999
journalist,1.0,0.008,1.0,0.012
james,1.0,0.008,1.0,0.005
ix,1.0,0.008,0.0,0.0
conyers,1.0,0.008,0.0,0.0
