term,a1_bin,a1_perc,a2_bin,a2_perc
harassment,7.0,0.684,1.0,0.068
allegations,3.0,0.215,2.0,0.158
assault,2.0,0.19699999999999998,1.0,0.015
misconduct,2.0,0.124,3.0,0.2
sexually,1.0,0.091,1.0,0.006999999999999999
weinstein,1.0,0.081,1.0,0.08800000000000001
accusations,1.0,0.06,1.0,0.051
workplace,1.0,0.053,1.0,0.005
abuse,1.0,0.052000000000000005,1.0,0.022000000000000002
harvey,1.0,0.049,1.0,0.062
victims,1.0,0.046,1.0,0.016
trump,1.0,0.037000000000000005,1.0,0.009000000000000001
complaints,1.0,0.036000000000000004,0.0,0.0
media,1.0,0.035,1.0,0.011000000000000001
violence,1.0,0.032,1.0,0.002
inappropriate,1.0,0.027999999999999997,1.0,0.018000000000000002
scandal,1.0,0.027000000000000003,1.0,0.027999999999999997
resign,1.0,0.027000000000000003,0.0,0.0
investigating,1.0,0.027000000000000003,0.0,0.0
democratic,1.0,0.026000000000000002,1.0,0.003
advances,1.0,0.026000000000000002,1.0,0.004
senate,1.0,0.024,1.0,0.006999999999999999
fox,1.0,0.024,1.0,0.004
actress,1.0,0.023,1.0,0.012
university,1.0,0.022000000000000002,1.0,0.001
nbc,1.0,0.022000000000000002,1.0,0.01
producer,1.0,0.021,1.0,0.024
discrimination,1.0,0.021,0.0,0.0
campaign,1.0,0.021,0.0,0.0
reporting,1.0,0.02,0.0,0.0
rape,1.0,0.02,1.0,0.009000000000000001
republican,1.0,0.019,0.0,0.0
lauer,1.0,0.019,1.0,0.039
california,1.0,0.019,1.0,0.002
women's,1.0,0.017,1.0,0.004
moore,1.0,0.017,1.0,0.026000000000000002
cbs,1.0,0.017,0.0,0.0
students,1.0,0.016,0.0,0.0
cosby,1.0,0.016,1.0,0.013999999999999999
congress,1.0,0.016,0.0,0.0
american,1.0,0.016,1.0,0.004
unwanted,1.0,0.015,1.0,0.005
o'reilly,1.0,0.013999999999999999,1.0,0.005
lawsuit,1.0,0.013999999999999999,0.0,0.0
united,1.0,0.013000000000000001,0.0,0.0
lawmakers,1.0,0.013000000000000001,0.0,0.0
clinton,1.0,0.013000000000000001,1.0,0.005
america,1.0,0.013000000000000001,1.0,0.009000000000000001
washington,1.0,0.012,1.0,0.002
violation,1.0,0.012,0.0,0.0
survivors,1.0,0.012,1.0,0.001
john,1.0,0.012,1.0,0.021
gender,1.0,0.012,1.0,0.003
franken,1.0,0.012,1.0,0.032
advocate,1.0,0.012,0.0,0.0
tweet,1.0,0.011000000000000001,1.0,0.018000000000000002
professor,1.0,0.011000000000000001,1.0,0.001
moonves,1.0,0.011000000000000001,1.0,0.002
mogul,1.0,0.011000000000000001,1.0,0.002
matt,1.0,0.011000000000000001,1.0,0.038
education,1.0,0.011000000000000001,0.0,0.0
cnn,1.0,0.011000000000000001,0.0,0.0
campus,1.0,0.011000000000000001,0.0,0.0
twitter,1.0,0.01,1.0,0.006999999999999999
spacey,1.0,0.01,1.0,0.075
roy,1.0,0.01,1.0,0.025
mps,1.0,0.01,0.0,0.0
ford,1.0,0.01,0.0,0.0
employers,1.0,0.01,0.0,0.0
donald,1.0,0.01,1.0,0.004
dismissed,1.0,0.01,1.0,0.002
denies,1.0,0.01,0.0,0.0
crime,1.0,0.01,1.0,0.004
transparent,1.0,0.009000000000000001,0.0,0.0
tolerance,1.0,0.009000000000000001,0.0,0.0
predators,1.0,0.009000000000000001,0.0,0.0
los,1.0,0.009000000000000001,1.0,0.004
leader,1.0,0.009000000000000001,0.0,0.0
kevin,1.0,0.009000000000000001,1.0,0.071
judge,1.0,0.009000000000000001,1.0,0.003
executives,1.0,0.009000000000000001,0.0,0.0
dozens,1.0,0.009000000000000001,1.0,0.006999999999999999
angeles,1.0,0.009000000000000001,1.0,0.004
activist,1.0,0.009000000000000001,0.0,0.0
